stationID,latitude (deg),longitude (deg),Observed 500 hPa geopotential height (m),Analyzed 500 hPa geopotential height (m),Analysis - Observed (m)
0.0,51.47,-90.2,5460.0,5459.653,-0.347
1.0,43.83,-66.0,5540.0,5547.432,7.432
2.0,53.55,-113.9,5360.0,5355.243,-4.757
3.0,53.75,-73.6,5340.0,5312.596,-27.404
4.0,64.3,-96.0,5220.0,5225.517,5.517
5.0,69.1,-105.1,5190.0,5218.473,28.473
6.0,80.0,-85.8,4890.0,nan,nan
7.0,68.3,-133.4,5210.0,5293.46,83.46
8.0,63.75,-68.5,5140.0,5199.855,59.855
9.0,48.53,-58.5,5360.0,5432.48,72.48
10.0,82.52,-62.2,4970.0,nan,nan
11.0,51.27,-80.6,5450.0,5448.129,-1.871
12.0,58.47,-78.0,5180.0,5249.225,69.225
13.0,53.97,-101.1,5370.0,5368.691,-1.309
14.0,74.72,-94.9,5020.0,5212.905,192.905
15.0,43.93,-60.0,5490.0,5479.635,-10.365
16.0,60.02,-111.9,5230.0,5231.317,1.317
17.0,68.78,-81.2,5160.0,5198.925,38.925
18.0,58.1,-68.4,5180.0,5285.787,105.787
19.0,65.28,-126.8,5270.0,5285.968,15.968
20.0,58.83,-122.5,5300.0,5304.472,4.472
21.0,58.75,-94.0,5250.0,5245.606,-4.394
22.0,53.32,-60.4,5250.0,5368.208,118.208
23.0,50.68,-127.3,5470.0,5467.246,-2.754
24.0,50.22,-66.2,5380.0,5419.614,39.614
25.0,53.9,-122.8,5380.0,5386.27,6.27
26.0,35.05,-106.6,5430.0,5433.963,3.963
27.0,45.45,-98.4,5550.0,5544.132,-5.868
28.0,57.75,-152.4,5200.0,5344.599,144.599
29.0,40.35,-79.9,5710.0,5710.99,0.99
30.0,58.68,-156.6,5180.0,5336.499,156.499
31.0,40.17,-103.2,5450.0,5467.359,17.359
32.0,42.75,-72.2,5660.0,5640.894,-19.106
33.0,35.23,-101.7,5440.0,5464.702,24.702
34.0,61.17,-150.0,5260.0,5333.555,73.555
35.0,55.03,-131.5,5420.0,5393.0,-27.0
36.0,45.07,-82.4,5610.0,5614.472,4.472
37.0,32.5,-93.6,5780.0,5774.931,-5.069
38.0,60.78,-161.8,5180.0,5328.787,148.787
39.0,46.77,-100.7,5510.0,5509.266,-0.734
40.0,33.57,-85.2,5820.0,5821.722,1.722
41.0,36.13,-86.6,5780.0,5778.535,-1.465
42.0,43.57,-116.2,5390.0,5398.309,8.309
43.0,25.9,-97.4,5840.0,5803.19,-36.81
44.0,71.3,-156.7,5130.0,5312.644,182.644
45.0,42.93,-78.7,5660.0,5663.236,3.236
46.0,35.97,-89.9,5760.0,5763.277,3.277
47.0,46.87,-68.0,5510.0,5493.915,-16.085
48.0,55.2,-162.7,5100.0,5331.944,231.944
49.0,41.66,-69.96,5630.0,5629.849,-0.151
50.0,32.9,-80.0,5810.0,5810.92,0.92
51.0,27.77,-97.5,5810.0,5773.026,-36.974
52.0,37.77,-99.9,5540.0,5527.384,-12.616
53.0,39.86,-104.7,5450.0,5446.807,-3.193
54.0,29.37,-100.7,5680.0,5684.357,4.357
55.0,32.17,-110.8,5570.0,5564.778,-5.222
56.0,39.78,-104.8,5450.0,5445.119,-4.881
